,ID1,Topic1,ID2,Topic2,Count
1561,136218,feedback,143082,3.0,9.0
1562,136218,feedback,143147,jira,15.0
1563,136218,feedback,143414,invision,27.0
1565,136218,feedback,143712,june 22,9.0
1569,136218,feedback,145452,eng,160.0
1570,136218,feedback,146132,july 27,6.0
1572,136218,feedback,149151,softphone,8.0
1576,136218,feedback,152063,aug 9,7.0
1578,136218,feedback,152591,nirajan,28.0
1583,136218,feedback,156226,2017,80.0
1585,136218,feedback,156235,cto,63.0
1586,136218,feedback,156236,i’m,18.0
1587,136218,feedback,156242,shrestha,20.0
1588,136218,feedback,156243,don’t,9.0
1591,136218,feedback,156249,feb,84.0
1593,136218,feedback,156261,postgres,20.0
1594,136218,feedback,156266,1st,43.0
1596,136218,feedback,156296,incontact,83.0
1597,136218,feedback,156328,etan,158.0
1599,136218,feedback,156332,westover,8.0
1601,136218,feedback,156345,justin mcdonald,248.0
1602,136218,feedback,156351,rowell,89.0
1603,136218,feedback,156352,paulus,283.0
1604,136218,feedback,156359,tcpa,6.0
1605,136218,feedback,156412,monit,10.0
1608,136218,feedback,156439,dialer,226.0
1610,136218,feedback,156448,the callback,6.0
1611,136218,feedback,156462,954,8.0
1612,136218,feedback,156463,867,8.0
1613,136218,feedback,156464,6800,8.0
1614,136218,feedback,156465,sabath,135.0
1615,136218,feedback,156466,andrew goldberg,17.0
1616,136218,feedback,156467,jason edwards,17.0
1617,136218,feedback,156468,kicked out,17.0
1618,136218,feedback,156475,mcdonald,32.0
1619,136218,feedback,156499,reierson,10.0
1627,136218,feedback,156830,dec,9.0
1629,136218,feedback,158262,database,15.0
1630,136218,feedback,158334,Bryan Starbuck,50.0
1631,136218,feedback,158462,entered,15.0
1632,136218,feedback,158792,starbuck,231.0
1633,136218,feedback,158793,roshan,25.0
1635,136221,screenshots,136221,screenshots,9.0
1640,136221,screenshots,136324,deployed,26.0
1642,136221,screenshots,136389,2016,27.0
1643,136221,screenshots,136566,shapiro,14.0
1644,136221,screenshots,136685,175,7.0
1648,136221,screenshots,138439,sharma,15.0
1649,136221,screenshots,138498,sushil,8.0
1655,136221,screenshots,144992,aug 19,15.0
1657,136221,screenshots,145452,eng,16.0
1658,136221,screenshots,148696,capistrano,22.0
1662,136221,screenshots,156226,2017,16.0
1664,136221,screenshots,156235,cto,6.0
1666,136221,screenshots,156249,feb,21.0
1667,136221,screenshots,156258,repo,36.0
1668,136221,screenshots,156266,1st,21.0
1669,136221,screenshots,156328,etan,19.0
